conv_type,hidden_dim,n_layers,dropout,fold,accuracy,auroc
GCN,32,2,0.1,0,0.95,0.9971949509116409
GCN,32,2,0.1,1,0.96,0.9982638888888888
GCN,32,2,0.1,2,0.95,0.9983060417843027
GCN,32,2,0.1,3,0.95,0.9966666666666667
GCN,32,2,0.1,4,0.96,0.9933333333333333
GCN,32,2,0.3,0,0.91,0.9957924263674615
GCN,32,2,0.3,1,0.93,0.9930555555555556
GCN,32,2,0.3,2,0.91,0.992094861660079
GCN,32,2,0.3,3,0.96,0.991904761904762
GCN,32,2,0.3,4,0.92,0.9887499999999999
GCN,32,2,0.5,0,0.95,0.9911173445535297
GCN,32,2,0.5,1,0.97,0.9921875
GCN,32,2,0.5,2,0.93,0.9847543760587238
GCN,32,2,0.5,3,0.95,0.9857142857142858
GCN,32,2,0.5,4,0.89,0.9870833333333333
GCN,32,3,0.1,0,0.98,0.9967274427302477
GCN,32,3,0.1,1,0.97,0.997829861111111
GCN,32,3,0.1,2,0.94,0.9971767363071711
GCN,32,3,0.1,3,0.98,0.9985714285714286
GCN,32,3,0.1,4,0.98,0.9983333333333333
GCN,32,3,0.3,0,0.98,0.9953249181860683
GCN,32,3,0.3,1,0.96,0.997829861111111
GCN,32,3,0.3,2,0.95,0.9943534726143421
GCN,32,3,0.3,3,0.96,0.9938095238095238
GCN,32,3,0.3,4,0.95,0.9916666666666667
GCN,32,3,0.5,0,0.94,0.9957924263674615
GCN,32,3,0.5,1,0.94,0.9930555555555556
GCN,32,3,0.5,2,0.95,0.9841897233201581
GCN,32,3,0.5,3,0.95,0.9904761904761905
GCN,32,3,0.5,4,0.94,0.9891666666666667
GCN,32,4,0.1,0,0.96,0.997194950911641
GCN,32,4,0.1,1,0.97,0.9991319444444444
GCN,32,4,0.1,2,0.98,0.9971767363071711
GCN,32,4,0.1,3,0.98,1.0
GCN,32,4,0.1,4,0.99,0.9995833333333333
GCN,32,4,0.3,0,0.94,0.9957924263674615
GCN,32,4,0.3,1,0.98,0.9973958333333334
GCN,32,4,0.3,2,0.88,0.9932241671372106
GCN,32,4,0.3,3,0.95,0.991904761904762
GCN,32,4,0.3,4,0.96,0.9954166666666666
GCN,32,4,0.5,0,0.91,0.9850397381954185
GCN,32,4,0.5,1,0.91,0.9895833333333334
GCN,32,4,0.5,2,0.82,0.9841897233201581
GCN,32,4,0.5,3,0.89,0.9895238095238096
GCN,32,4,0.5,4,0.9,0.98375
GCN,64,2,0.1,0,0.95,0.9995324918186068
GCN,64,2,0.1,1,0.98,0.9973958333333333
GCN,64,2,0.1,2,0.98,0.9966120835686053
GCN,64,2,0.1,3,0.97,0.9971428571428571
GCN,64,2,0.1,4,0.99,0.9979166666666667
GCN,64,2,0.3,0,0.93,0.9971949509116409
GCN,64,2,0.3,1,0.98,0.9982638888888888
GCN,64,2,0.3,2,0.94,0.9994353472614342
GCN,64,2,0.3,3,0.97,0.9980952380952381
GCN,64,2,0.3,4,0.92,0.9941666666666666
GCN,64,2,0.5,0,0.95,0.9962599345488546
GCN,64,2,0.5,1,0.94,0.9969618055555556
GCN,64,2,0.5,2,0.96,0.9926595143986447
GCN,64,2,0.5,3,0.96,0.9914285714285714
GCN,64,2,0.5,4,0.95,0.9916666666666667
GCN,64,3,0.1,0,0.97,0.9995324918186068
GCN,64,3,0.1,1,0.98,0.9986979166666666
GCN,64,3,0.1,2,0.96,0.994918125352908
GCN,64,3,0.1,3,0.98,0.9952380952380953
GCN,64,3,0.1,4,0.98,0.9987499999999999
GCN,64,3,0.3,0,0.97,0.9981299672744274
GCN,64,3,0.3,1,0.97,0.9991319444444444
GCN,64,3,0.3,2,0.95,0.994918125352908
GCN,64,3,0.3,3,0.97,0.9980952380952381
GCN,64,3,0.3,4,0.96,0.9966666666666667
GCN,64,3,0.5,0,0.98,0.9976624590930341
GCN,64,3,0.5,1,0.95,0.9952256944444444
GCN,64,3,0.5,2,0.93,0.9898362507058159
GCN,64,3,0.5,3,0.94,0.9928571428571429
GCN,64,3,0.5,4,0.97,0.9945833333333334
GCN,64,4,0.1,0,0.98,0.9981299672744273
GCN,64,4,0.1,1,0.98,0.9995659722222222
GCN,64,4,0.1,2,0.94,0.9926595143986449
GCN,64,4,0.1,3,0.98,0.9995238095238095
GCN,64,4,0.1,4,0.98,0.9991666666666666
GCN,64,4,0.3,0,0.99,0.9962599345488546
GCN,64,4,0.3,1,0.98,0.9991319444444444
GCN,64,4,0.3,2,0.93,0.9960474308300395
GCN,64,4,0.3,3,0.97,0.9966666666666667
GCN,64,4,0.3,4,0.98,0.9974999999999999
GCN,64,4,0.5,0,0.97,0.9929873772791024
GCN,64,4,0.5,1,0.95,0.9917534722222223
GCN,64,4,0.5,2,0.91,0.9932241671372106
GCN,64,4,0.5,3,0.86,0.9890476190476191
GCN,64,4,0.5,4,0.92,0.9941666666666666
GCN,128,2,0.1,0,0.95,0.9976624590930341
GCN,128,2,0.1,1,0.93,0.9986979166666666
GCN,128,2,0.1,2,0.94,0.9983060417843027
GCN,128,2,0.1,3,0.97,0.9990476190476191
GCN,128,2,0.1,4,0.97,0.9970833333333333
GCN,128,2,0.3,0,0.97,1.0
GCN,128,2,0.3,1,0.97,0.9973958333333333
GCN,128,2,0.3,2,0.98,0.9915302089215133
GCN,128,2,0.3,3,0.97,0.9971428571428571
GCN,128,2,0.3,4,0.97,0.9979166666666667
GCN,128,2,0.5,0,0.95,0.9971949509116409
GCN,128,2,0.5,1,0.98,0.99609375
GCN,128,2,0.5,2,0.93,0.994918125352908
GCN,128,2,0.5,3,0.96,0.9942857142857143
GCN,128,2,0.5,4,0.97,0.9966666666666667
GCN,128,3,0.1,0,0.97,0.9990649836372137
GCN,128,3,0.1,1,0.97,0.9995659722222222
GCN,128,3,0.1,2,0.95,0.9926595143986449
GCN,128,3,0.1,3,0.98,0.9966666666666667
GCN,128,3,0.1,4,0.98,0.9983333333333333
GCN,128,3,0.3,0,0.98,0.9990649836372137
GCN,128,3,0.3,1,0.97,0.9969618055555556
GCN,128,3,0.3,2,0.96,0.9915302089215133
GCN,128,3,0.3,3,0.97,0.9980952380952381
GCN,128,3,0.3,4,0.98,0.9970833333333333
GCN,128,3,0.5,0,0.98,0.9957924263674613
GCN,128,3,0.5,1,0.96,0.9947916666666666
GCN,128,3,0.5,2,0.95,0.9960474308300395
GCN,128,3,0.5,3,0.95,0.9938095238095238
GCN,128,3,0.5,4,0.98,0.9979166666666667
GCN,128,4,0.1,0,0.98,1.0
GCN,128,4,0.1,1,0.99,0.9995659722222222
GCN,128,4,0.1,2,0.99,0.9994353472614342
GCN,128,4,0.1,3,0.98,0.9985714285714286
GCN,128,4,0.1,4,0.98,0.9995833333333333
GCN,128,4,0.3,0,0.98,0.9981299672744273
GCN,128,4,0.3,1,0.98,0.9995659722222222
GCN,128,4,0.3,2,0.98,1.0
GCN,128,4,0.3,3,0.97,0.9966666666666667
GCN,128,4,0.3,4,0.97,0.9983333333333334
GCN,128,4,0.5,0,0.98,0.9962599345488546
GCN,128,4,0.5,1,0.94,0.9969618055555556
GCN,128,4,0.5,2,0.92,0.9937888198757765
GCN,128,4,0.5,3,0.91,0.9952380952380953
GCN,128,4,0.5,4,0.96,0.9966666666666667
SAGE,32,2,0.1,0,0.97,0.9995324918186068
SAGE,32,2,0.1,1,0.99,1.0
SAGE,32,2,0.1,2,0.98,0.9960474308300395
SAGE,32,2,0.1,3,0.96,1.0
SAGE,32,2,0.1,4,0.98,0.9995833333333333
SAGE,32,2,0.3,0,0.99,0.9995324918186068
SAGE,32,2,0.3,1,0.96,0.9973958333333334
SAGE,32,2,0.3,2,0.97,0.9983060417843027
SAGE,32,2,0.3,3,0.96,0.9966666666666667
SAGE,32,2,0.3,4,0.97,0.9966666666666666
SAGE,32,2,0.5,0,0.97,0.9934548854604957
SAGE,32,2,0.5,1,0.93,0.9934895833333334
SAGE,32,2,0.5,2,0.95,0.992659514398645
SAGE,32,2,0.5,3,0.97,0.9947619047619047
SAGE,32,2,0.5,4,0.96,0.9916666666666667
SAGE,32,3,0.1,0,0.97,0.9990649836372137
SAGE,32,3,0.1,1,0.97,1.0
SAGE,32,3,0.1,2,0.97,0.9988706945228685
SAGE,32,3,0.1,3,1.0,1.0
SAGE,32,3,0.1,4,0.99,0.9995833333333333
SAGE,32,3,0.3,0,0.98,0.9995324918186068
SAGE,32,3,0.3,1,0.98,1.0
SAGE,32,3,0.3,2,0.96,1.0
SAGE,32,3,0.3,3,1.0,1.0
SAGE,32,3,0.3,4,0.99,0.9995833333333333
SAGE,32,3,0.5,0,0.98,0.9990649836372136
SAGE,32,3,0.5,1,0.98,1.0
SAGE,32,3,0.5,2,0.97,0.9949181253529079
SAGE,32,3,0.5,3,0.95,0.9938095238095238
SAGE,32,3,0.5,4,0.97,0.9991666666666666
SAGE,32,4,0.1,0,0.98,0.9990649836372137
SAGE,32,4,0.1,1,0.99,0.9995659722222222
SAGE,32,4,0.1,2,0.98,0.9988706945228685
SAGE,32,4,0.1,3,1.0,1.0
SAGE,32,4,0.1,4,0.98,0.9995833333333333
SAGE,32,4,0.3,0,0.98,0.9995324918186068
SAGE,32,4,0.3,1,0.97,1.0
SAGE,32,4,0.3,2,0.96,0.9971767363071712
SAGE,32,4,0.3,3,1.0,1.0
SAGE,32,4,0.3,4,0.99,0.9995833333333333
SAGE,32,4,0.5,0,0.99,0.9995324918186068
SAGE,32,4,0.5,1,0.91,0.9982638888888888
SAGE,32,4,0.5,2,0.9,0.9960474308300395
SAGE,32,4,0.5,3,0.96,0.9990476190476191
SAGE,32,4,0.5,4,0.89,0.9941666666666666
SAGE,64,2,0.1,0,0.97,0.9990649836372137
SAGE,64,2,0.1,1,0.99,0.9995659722222222
SAGE,64,2,0.1,2,0.96,0.9966120835686054
SAGE,64,2,0.1,3,0.96,1.0
SAGE,64,2,0.1,4,0.96,0.9991666666666666
SAGE,64,2,0.3,0,0.98,0.9995324918186068
SAGE,64,2,0.3,1,0.97,1.0
SAGE,64,2,0.3,2,0.96,0.9937888198757765
SAGE,64,2,0.3,3,0.97,1.0
SAGE,64,2,0.3,4,0.98,0.9995833333333333
SAGE,64,2,0.5,0,0.96,0.9995324918186068
SAGE,64,2,0.5,1,0.99,0.9991319444444444
SAGE,64,2,0.5,2,0.97,0.9983060417843027
SAGE,64,2,0.5,3,0.97,0.9980952380952381
SAGE,64,2,0.5,4,0.98,0.9962500000000001
SAGE,64,3,0.1,0,0.98,0.9990649836372136
SAGE,64,3,0.1,1,0.98,0.9995659722222222
SAGE,64,3,0.1,2,0.96,0.9983060417843027
SAGE,64,3,0.1,3,1.0,1.0
SAGE,64,3,0.1,4,0.98,0.9995833333333333
SAGE,64,3,0.3,0,0.98,1.0
SAGE,64,3,0.3,1,0.99,1.0
SAGE,64,3,0.3,2,0.97,0.9983060417843027
SAGE,64,3,0.3,3,1.0,1.0
SAGE,64,3,0.3,4,0.98,0.9995833333333333
SAGE,64,3,0.5,0,0.99,0.9995324918186068
SAGE,64,3,0.5,1,0.97,0.9995659722222222
SAGE,64,3,0.5,2,0.96,0.997741389045737
SAGE,64,3,0.5,3,0.99,1.0
SAGE,64,3,0.5,4,0.99,1.0
SAGE,64,4,0.1,0,0.98,0.9990649836372137
SAGE,64,4,0.1,1,1.0,1.0
SAGE,64,4,0.1,2,0.97,0.9960474308300395
SAGE,64,4,0.1,3,1.0,1.0
SAGE,64,4,0.1,4,0.99,0.9995833333333333
SAGE,64,4,0.3,0,0.98,0.9995324918186068
SAGE,64,4,0.3,1,0.97,1.0
SAGE,64,4,0.3,2,0.97,0.9983060417843027
SAGE,64,4,0.3,3,0.97,1.0
SAGE,64,4,0.3,4,0.98,0.9987499999999999
SAGE,64,4,0.5,0,0.95,0.9967274427302477
SAGE,64,4,0.5,1,0.96,0.9982638888888888
SAGE,64,4,0.5,2,0.91,0.997741389045737
SAGE,64,4,0.5,3,0.96,1.0
SAGE,64,4,0.5,4,0.95,0.9958333333333333
SAGE,128,2,0.1,0,0.97,0.9981299672744273
SAGE,128,2,0.1,1,0.98,1.0
SAGE,128,2,0.1,2,0.96,0.9966120835686054
SAGE,128,2,0.1,3,1.0,1.0
SAGE,128,2,0.1,4,0.98,0.9991666666666666
SAGE,128,2,0.3,0,0.98,0.9981299672744274
SAGE,128,2,0.3,1,0.97,1.0
SAGE,128,2,0.3,2,0.97,0.9983060417843027
SAGE,128,2,0.3,3,0.97,1.0
SAGE,128,2,0.3,4,0.99,0.9995833333333333
SAGE,128,2,0.5,0,0.98,1.0
SAGE,128,2,0.5,1,0.97,1.0
SAGE,128,2,0.5,2,0.96,0.9937888198757765
SAGE,128,2,0.5,3,1.0,1.0
SAGE,128,2,0.5,4,0.98,0.99875
SAGE,128,3,0.1,0,0.98,0.9990649836372136
SAGE,128,3,0.1,1,0.99,1.0
SAGE,128,3,0.1,2,0.98,0.9994353472614342
SAGE,128,3,0.1,3,1.0,1.0
SAGE,128,3,0.1,4,0.99,0.9995833333333333
SAGE,128,3,0.3,0,0.97,0.9995324918186068
SAGE,128,3,0.3,1,0.99,1.0
SAGE,128,3,0.3,2,0.96,1.0
SAGE,128,3,0.3,3,1.0,1.0
SAGE,128,3,0.3,4,0.99,0.9995833333333333
SAGE,128,3,0.5,0,0.98,0.9995324918186068
SAGE,128,3,0.5,1,0.99,0.9995659722222222
SAGE,128,3,0.5,2,0.95,0.994918125352908
SAGE,128,3,0.5,3,1.0,1.0
SAGE,128,3,0.5,4,0.99,0.9995833333333333
SAGE,128,4,0.1,0,0.98,0.9985974754558206
SAGE,128,4,0.1,1,1.0,1.0
SAGE,128,4,0.1,2,0.96,0.9954827780914738
SAGE,128,4,0.1,3,1.0,1.0
SAGE,128,4,0.1,4,0.99,0.9995833333333333
SAGE,128,4,0.3,0,0.97,0.9990649836372137
SAGE,128,4,0.3,1,1.0,1.0
SAGE,128,4,0.3,2,0.97,0.9983060417843027
SAGE,128,4,0.3,3,1.0,1.0
SAGE,128,4,0.3,4,0.98,0.9995833333333333
SAGE,128,4,0.5,0,0.98,0.9995324918186068
SAGE,128,4,0.5,1,1.0,1.0
SAGE,128,4,0.5,2,0.97,0.9966120835686053
SAGE,128,4,0.5,3,0.98,1.0
SAGE,128,4,0.5,4,0.99,1.0
GATv2,32,2,0.1,0,0.92,0.9981299672744273
GATv2,32,2,0.1,1,0.97,1.0
GATv2,32,2,0.1,2,0.96,0.9960474308300395
GATv2,32,2,0.1,3,0.97,1.0
GATv2,32,2,0.1,4,0.98,0.9958333333333333
GATv2,32,2,0.3,0,0.95,1.0
GATv2,32,2,0.3,1,0.99,0.9995659722222222
GATv2,32,2,0.3,2,0.99,0.997741389045737
GATv2,32,2,0.3,3,0.99,0.9928571428571429
GATv2,32,2,0.3,4,0.93,0.9924999999999999
GATv2,32,2,0.5,0,0.94,0.9976624590930342
GATv2,32,2,0.5,1,0.95,0.9934895833333334
GATv2,32,2,0.5,2,0.95,0.9836250705815923
GATv2,32,2,0.5,3,0.95,0.9952380952380953
GATv2,32,2,0.5,4,0.93,0.9920833333333333
GATv2,32,3,0.1,0,0.97,0.9985974754558204
GATv2,32,3,0.1,1,1.0,1.0
GATv2,32,3,0.1,2,0.96,0.9983060417843027
GATv2,32,3,0.1,3,0.96,0.9976190476190476
GATv2,32,3,0.1,4,0.99,0.9995833333333333
GATv2,32,3,0.3,0,0.94,0.9981299672744273
GATv2,32,3,0.3,1,0.96,0.9986979166666666
GATv2,32,3,0.3,2,0.94,0.9971767363071711
GATv2,32,3,0.3,3,0.98,0.9971428571428571
GATv2,32,3,0.3,4,0.98,0.9945833333333334
GATv2,32,3,0.5,0,0.96,0.9957924263674613
GATv2,32,3,0.5,1,0.91,0.9861111111111112
GATv2,32,3,0.5,2,0.89,0.987012987012987
GATv2,32,3,0.5,3,0.94,0.9885714285714287
GATv2,32,3,0.5,4,0.93,0.9920833333333334
GATv2,32,4,0.1,0,0.97,0.9990649836372137
GATv2,32,4,0.1,1,0.98,0.9995659722222222
GATv2,32,4,0.1,2,0.94,0.9983060417843027
GATv2,32,4,0.1,3,0.98,0.9985714285714286
GATv2,32,4,0.1,4,0.97,0.9987499999999999
GATv2,32,4,0.3,0,0.94,0.9929873772791025
GATv2,32,4,0.3,1,0.92,0.9991319444444444
GATv2,32,4,0.3,2,0.9,0.9943534726143421
GATv2,32,4,0.3,3,0.95,0.9957142857142858
GATv2,32,4,0.3,4,0.95,0.9983333333333333
GATv2,32,4,0.5,0,0.96,0.9920523609163161
GATv2,32,4,0.5,1,0.81,0.9822048611111112
GATv2,32,4,0.5,2,0.89,0.9898362507058159
GATv2,32,4,0.5,3,0.92,0.9828571428571429
GATv2,32,4,0.5,4,0.89,0.9845833333333334
GATv2,64,2,0.1,0,0.97,0.9981299672744274
GATv2,64,2,0.1,1,0.99,1.0
GATv2,64,2,0.1,2,1.0,1.0
GATv2,64,2,0.1,3,0.98,1.0
GATv2,64,2,0.1,4,0.99,0.9995833333333333
GATv2,64,2,0.3,0,0.97,1.0
GATv2,64,2,0.3,1,0.98,0.9995659722222222
GATv2,64,2,0.3,2,0.96,0.9971767363071711
GATv2,64,2,0.3,3,0.99,1.0
GATv2,64,2,0.3,4,0.99,0.9995833333333333
GATv2,64,2,0.5,0,0.98,0.9990649836372136
GATv2,64,2,0.5,1,0.97,0.9991319444444444
GATv2,64,2,0.5,2,0.99,0.9971767363071711
GATv2,64,2,0.5,3,0.96,0.9957142857142858
GATv2,64,2,0.5,4,0.99,0.9995833333333333
GATv2,64,3,0.1,0,0.97,0.9976624590930342
GATv2,64,3,0.1,1,0.97,1.0
GATv2,64,3,0.1,2,0.97,0.9971767363071711
GATv2,64,3,0.1,3,0.99,1.0
GATv2,64,3,0.1,4,0.98,0.9995833333333333
GATv2,64,3,0.3,0,0.98,0.9990649836372137
GATv2,64,3,0.3,1,0.98,0.9995659722222222
GATv2,64,3,0.3,2,0.96,0.9971767363071712
GATv2,64,3,0.3,3,0.96,0.9990476190476191
GATv2,64,3,0.3,4,0.96,0.9983333333333333
GATv2,64,3,0.5,0,0.98,0.9962599345488546
GATv2,64,3,0.5,1,0.97,0.9995659722222222
GATv2,64,3,0.5,2,0.91,0.9977413890457368
GATv2,64,3,0.5,3,1.0,1.0
GATv2,64,3,0.5,4,0.97,0.9954166666666666
GATv2,64,4,0.1,0,0.99,0.9995324918186068
GATv2,64,4,0.1,1,0.98,1.0
GATv2,64,4,0.1,2,0.99,0.9994353472614342
GATv2,64,4,0.1,3,1.0,1.0
GATv2,64,4,0.1,4,0.99,0.9995833333333333
GATv2,64,4,0.3,0,0.99,0.9985974754558204
GATv2,64,4,0.3,1,0.97,0.9995659722222222
GATv2,64,4,0.3,2,0.92,0.9960474308300395
GATv2,64,4,0.3,3,0.96,0.9961904761904762
GATv2,64,4,0.3,4,0.96,0.9979166666666667
GATv2,64,4,0.5,0,0.95,0.9925198690977093
GATv2,64,4,0.5,1,0.98,0.9991319444444444
GATv2,64,4,0.5,2,0.85,0.9881422924901185
GATv2,64,4,0.5,3,0.91,0.9942857142857143
GATv2,64,4,0.5,4,1.0,1.0
GATv2,128,2,0.1,0,0.97,0.9985974754558206
GATv2,128,2,0.1,1,0.99,1.0
GATv2,128,2,0.1,2,0.99,1.0
GATv2,128,2,0.1,3,0.99,1.0
GATv2,128,2,0.1,4,0.98,0.9995833333333333
GATv2,128,2,0.3,0,0.97,0.9990649836372137
GATv2,128,2,0.3,1,0.99,1.0
GATv2,128,2,0.3,2,0.98,0.9966120835686053
GATv2,128,2,0.3,3,1.0,1.0
GATv2,128,2,0.3,4,0.99,0.9995833333333333
GATv2,128,2,0.5,0,0.97,0.9995324918186068
GATv2,128,2,0.5,1,1.0,1.0
GATv2,128,2,0.5,2,0.97,0.9960474308300395
GATv2,128,2,0.5,3,0.96,0.9952380952380953
GATv2,128,2,0.5,4,0.99,0.9991666666666666
GATv2,128,3,0.1,0,0.97,0.9990649836372136
GATv2,128,3,0.1,1,0.99,1.0
GATv2,128,3,0.1,2,0.96,0.9983060417843027
GATv2,128,3,0.1,3,1.0,1.0
GATv2,128,3,0.1,4,0.98,0.9995833333333333
GATv2,128,3,0.3,0,0.97,0.9981299672744274
GATv2,128,3,0.3,1,0.99,0.9995659722222222
GATv2,128,3,0.3,2,0.97,0.9988706945228685
GATv2,128,3,0.3,3,0.98,1.0
GATv2,128,3,0.3,4,0.99,1.0
GATv2,128,3,0.5,0,0.97,0.9995324918186068
GATv2,128,3,0.5,1,0.99,0.9986979166666666
GATv2,128,3,0.5,2,0.94,0.9932241671372106
GATv2,128,3,0.5,3,0.96,1.0
GATv2,128,3,0.5,4,0.99,0.9995833333333333
GATv2,128,4,0.1,0,0.97,0.9990649836372136
GATv2,128,4,0.1,1,0.98,1.0
GATv2,128,4,0.1,2,0.96,1.0
GATv2,128,4,0.1,3,1.0,1.0
GATv2,128,4,0.1,4,0.98,0.9995833333333333
GATv2,128,4,0.3,0,0.97,0.9985974754558204
GATv2,128,4,0.3,1,0.98,0.9995659722222222
GATv2,128,4,0.3,2,0.96,0.9954827780914738
GATv2,128,4,0.3,3,1.0,1.0
GATv2,128,4,0.3,4,0.99,0.9995833333333333
GATv2,128,4,0.5,0,0.98,0.9995324918186068
GATv2,128,4,0.5,1,0.95,1.0
GATv2,128,4,0.5,2,0.96,0.9875776397515528
GATv2,128,4,0.5,3,0.96,0.9985714285714286
GATv2,128,4,0.5,4,0.96,0.9995833333333333
